passenger_id	female	male	age	survived	upper_class	middle_class	lower_class	siblings_spouses	parents_children	fare	cherbourg	queenstown	southampton
1	0	1	0.23076923076923078	0	0	0	1	1	0	0.00014151057562208048	0	0	1
2	1	0	0.4065934065934066	1	1	0	0	1	0	0.13913573538264068	1	0	0
3	1	0	0.27472527472527475	1	0	0	1	0	0	0.0015468569817999832	0	0	1
4	1	0	0.37362637362637363	1	1	0	0	1	0	0.00010364429745562033	0	0	1
5	0	1	0.37362637362637363	0	0	0	1	0	0	0.00015712553569072386	0	0	1
6	0	1	0.4725274725274725	0	0	0	1	0	0	0.01650950209357577	0	1	0
7	0	1	0.5824175824175825	0	1	0	0	0	0	0.10122885832000206	0	0	1
8	0	1	0.01098901098901099	0	0	0	1	3	1	0.0041135660430832366	0	0	1
9	1	0	0.2857142857142857	1	0	0	1	0	2	0.021730754366528396	0	0	1
10	1	0	0.14285714285714285	1	0	1	0	1	0	0.05869429265402011	1	0	0
11	1	0	0.03296703296703297	1	0	0	1	1	1	3.259622914329302e-05	0	0	1
12	1	0	0.6263736263736264	1	1	0	0	0	0	0.0005182214872781017	0	0	1
13	0	1	0.2087912087912088	0	0	0	1	0	0	0.00015712553569072386	0	0	1
15	1	0	0.14285714285714285	0	0	0	1	0	0	0.015330377421392339	0	0	1
16	1	0	0.5934065934065934	1	0	1	0	0	0	3.122992013728673e-06	0	0	1
17	0	1	0.01098901098901099	0	0	0	1	4	1	0.005684821399990475	0	1	0
18	0	1	0.16483516483516483	1	0	1	0	0	0	2.5374310111545467e-06	0	0	1
19	1	0	0.32967032967032966	0	0	0	1	1	0	3.513366015444757e-06	0	0	1
20	1	0	0.3516483516483517	1	0	0	1	0	0	0.0014102260811993538	1	0	0
21	0	1	0.37362637362637363	0	0	1	0	0	0	5.074862022309093e-06	0	0	1
22	0	1	0.3626373626373626	1	0	1	0	0	0	2.5374310111545467e-06	0	0	1
23	1	0	0.15384615384615385	1	0	0	1	0	0	0.015671954672893913	0	1	0
25	1	0	0.07692307692307693	0	0	0	1	3	1	0.0041135660430832366	0	0	1
26	1	0	0.4065934065934066	1	0	0	1	1	5	0.06126431989431795	0	0	1
27	0	1	0.2967032967032967	0	0	0	1	0	0	0.0014102260811993538	1	0	0
28	0	1	0.1978021978021978	0	1	0	0	3	2	5.133418122566506e-05	0	0	1
29	1	0	0.27472527472527475	1	0	0	1	0	0	0.01537917417160685	0	1	0
30	0	1	0.3516483516483517	0	0	0	1	0	0	0.015411575213749284	0	0	1
31	0	1	0.42857142857142855	0	1	0	0	0	0	0.05410739813385612	1	0	0
32	1	0	0.08791208791208792	1	1	0	0	1	0	0.28598955515321006	1	0	0
33	1	0	0.4065934065934066	1	0	0	1	0	0	0.0001512699256649826	0	1	0
34	0	1	0.7142857142857143	0	0	1	0	0	0	2.0494635090094416e-05	0	0	1
35	0	1	0.2967032967032967	0	1	0	0	1	0	0.16038672010106003	1	0	0
36	0	1	0.45054945054945056	0	1	0	0	1	0	1.0149724044618187e-05	0	0	1
37	0	1	0.34065934065934067	1	0	0	1	0	0	0.014110458666029576	1	0	0
38	0	1	0.21978021978021978	0	0	0	1	0	0	0.00015712553569072386	0	0	1
39	1	0	0.18681318681318682	0	0	0	1	2	0	3.513366015444757e-06	0	0	1
40	1	0	0.14285714285714285	1	0	0	1	1	0	0.021942337075458514	1	0	0
41	1	0	0.42857142857142855	0	0	0	1	1	0	0.0018493968331299484	0	0	1
42	1	0	0.2857142857142857	0	0	1	0	1	0	4.098927018018883e-06	0	0	1
43	0	1	0.15384615384615385	0	0	0	1	0	0	0.015411575213749284	1	0	0
44	1	0	0.02197802197802198	1	0	1	0	1	2	0.08115719346076702	1	0	0
45	1	0	0.1978021978021978	1	0	0	1	0	0	0.01537917417160685	0	1	0
46	0	1	0.1978021978021978	0	0	0	1	0	0	0.00015712553569072386	0	0	1
47	0	1	0.1978021978021978	0	0	0	1	1	0	3.025398513299652e-05	0	1	0
48	1	0	0.18681318681318682	1	0	0	1	0	0	0.0001512699256649826	0	1	0
49	0	1	0.18681318681318682	0	0	0	1	2	0	0.04231498029001665	1	0	0
50	1	0	0.18681318681318682	0	0	0	1	1	0	3.4743286152731484e-05	0	0	1
51	0	1	0.06593406593406594	0	0	0	1	4	1	0.07746484096553544	0	0	1
52	0	1	0.21978021978021978	0	0	0	1	0	0	1.522458606692728e-05	0	0	1
53	1	0	0.5274725274725275	1	1	0	0	1	0	0.1497654242623688	1	0	0
54	1	0	0.3076923076923077	1	0	1	0	1	0	5.074862022309093e-06	0	0	1
55	0	1	0.7032967032967034	0	1	0	0	0	1	0.1209753416358076	1	0	0
56	0	1	0.46153846153846156	1	1	0	0	0	0	6.929138530460492e-05	0	0	1
57	1	0	0.21978021978021978	1	0	1	0	0	0	2.0494635090094416e-05	0	0	1
59	1	0	0.04395604395604396	1	0	1	0	1	2	0.0005416439273810667	0	0	1
60	0	1	0.10989010989010989	0	0	0	1	5	2	9.154270340242173e-05	0	0	1
61	0	1	0.23076923076923078	0	0	0	1	0	0	0.014110458666029576	1	0	0
62	1	0	0.4065934065934066	1	1	0	0	0	0	1.5614960068643363e-05	0	0	0
63	0	1	0.4835164835164835	0	1	0	0	1	0	0.01629323489662506	0	0	1
64	0	1	0.03296703296703297	0	0	0	1	3	2	5.4457173239393734e-05	0	0	1
65	0	1	0.12087912087912088	0	1	0	0	0	0	0.05410739813385612	1	0	0
66	0	1	0.21978021978021978	1	0	0	1	1	1	0.029757819776815377	1	0	0
67	1	0	0.3076923076923077	1	0	1	0	0	0	2.0494635090094416e-05	0	0	1
68	0	1	0.1978021978021978	0	0	0	1	0	0	0.015923941091001644	0	0	1
69	1	0	0.17582417582417584	1	0	0	1	4	2	0.0015468569817999832	0	0	1
70	0	1	0.27472527472527475	0	0	0	1	2	0	0.016908073949327893	0	0	1
71	0	1	0.34065934065934067	0	0	1	0	0	0	2.0494635090094416e-05	0	0	1
72	1	0	0.16483516483516483	0	0	0	1	5	2	9.154270340242173e-05	0	0	1
73	0	1	0.21978021978021978	0	0	1	0	0	0	0.00014346244563066092	0	0	1
74	0	1	0.27472527472527475	0	0	0	1	1	0	0.028212719478023115	1	0	0
75	0	1	0.34065934065934067	1	0	0	1	0	0	0.11027245763075773	0	0	1
76	0	1	0.26373626373626374	0	0	0	1	0	0	0.00014931805565640219	0	0	1
77	0	1	0.4725274725274725	0	0	0	1	0	0	0.015411575213749284	0	0	1
78	0	1	0.6923076923076923	0	0	0	1	0	0	0.00015712553569072386	0	0	1
79	0	1	0.9010989010989011	1	0	1	0	0	2	5.66042302488322e-06	0	0	1
80	1	0	0.31868131868131866	1	0	0	1	0	0	0.0024349578357040747	0	0	1
81	0	1	0.23076923076923078	0	0	0	1	0	0	1.7566830077223784e-06	0	0	1
82	0	1	0.3076923076923077	1	0	0	1	0	0	1.8542765081513994e-05	0	0	1
83	1	0	0.2967032967032967	1	0	0	1	0	0	0.015200187691820025	0	1	0
84	0	1	0.2967032967032967	0	1	0	0	0	0	9.19330774041378e-05	0	0	1
85	1	0	0.17582417582417584	1	0	1	0	0	0	2.0494635090094416e-05	0	0	1
86	1	0	0.3516483516483517	1	0	0	1	3	0	0.00030937139635999665	0	0	1
87	0	1	0.16483516483516483	0	0	0	1	1	3	0.006709553154495195	0	0	1
88	0	1	0.2087912087912088	0	0	0	1	0	0	0.00015712553569072386	0	0	1
89	1	0	0.24175824175824176	1	1	0	0	3	2	5.133418122566506e-05	0	0	1
90	0	1	0.25274725274725274	0	0	0	1	0	0	0.00015712553569072386	0	0	1
91	0	1	0.3076923076923077	0	0	0	1	0	0	0.00015712553569072386	0	0	1
92	0	1	0.2087912087912088	0	0	0	1	0	0	0.015330377421392339	0	0	1
93	0	1	0.4945054945054945	0	1	0	0	1	0	0.011940564777490724	0	0	1
